"International inbound tourists (thousands)"
"173","Ethiopia","103","","136","","227","","468","","523","","597","","681","","770","","864","","871","","933",""
"98","Fiji","318","","294","","545","","632","","675","","661","","659","","693","","755","","792","","843",""
"12","Finland","1779","","1971","","2080","","2319","","2623","","2778","","2797","","2731","","2622","","2789","","3180",""
"26","France","60033","","77190","","74988","","76647","","80499","","81980","","83634","","83701","","84452","","82682","","86861",""
"115","Gabon","125","","155","","269","","..","","..","","..","","..","","..","","..","","..","","..",""
"174","Gambia","45","","79","","108","","91","","106","","157","","171","","156","","135","","161","","162",""
"70","Georgia","85","","387","","560","","2032","","2712","","4106","","4954","","5004","","5256","","5393","","6483",""
"4","Germany","14847","","18983","","21500","","26875","","28374","","30411","","31545","","32999","","34970","","35555","","37452",""
"142","Ghana","286","","399","","429","","931","","821","","903","","994","","825","","897","","..","","..",""
"32","Greece","10130","","13096","","14765","","15007","","16427","","15518","","17920","","22033","","23599","","24799","","27194",""
"78","Grenada","108","","129","","99","","110","","118","","125","","128","","150","","155","","156","","168",""
"126","Guatemala","563","","826","","1316","","1384","","1434","","1491","","1516","","1739","","1865","","1906","","2113",""
"174","Guinea","..","","33","","45","","12","","131","","96","","56","","33","","35","","60","","..",""
"178","Guinea-Bissau","..","","..","","5","","22","","37","","35","","36","","36","","44","","..","","..",""
"123","Guyana","106","","105","","117","","152","","157","","177","","200","","206","","207","","235","","247",""
"169","Haiti","145","","140","","112","","255","","349","","349","","420","","465","","516","","445","","467",""
"132","Honduras","271","","471","","673","","863","","871","","895","","863","","868","","880","","838","","851",""
"4","Hong Kong, China (SAR)","..","","8814","","14773","","20085","","22316","","23770","","25661","","27770","","26686","","26553","","27884",""
"43","Hungary","2878","","2992","","3446","","3462","","3822","","4164","","4388","","4618","","4929","","5302","","5650",""
"6","Iceland","190","","303","","374","","489","","566","","673","","807","","998","","1289","","1792","","2225",""
"129","India","2124","","2649","","3919","","5776","","6309","","6578","","6968","","13107","","13284","","14570","","15543",""
"111","Indonesia","4324","","5064","","5002","","7003","","7650","","8044","","8802","","9435","","10407","","11519","","14040",""
"65","Iran (Islamic Republic of)","568","","1342","","1889","","2938","","3354","","3834","","4769","","4968","","5237","","4942","","4867",""
"120","Iraq","61","","78","","..","","1518","","1510","","1111","","892","","..","","..","","..","","..",""
"3","Ireland","4818","","6646","","7333","","7134","","7630","","7550","","8260","","8813","","9528","","10100","","10338",""
"22","Israel","2215","","2417","","1903","","2803","","2820","","2886","","2962","","2927","","2799","","2900","","3613",""
"29","Italy","31052","","41181","","36513","","43626","","46119","","46360","","47704","","48576","","50732","","52372","","58253",""
"96","Jamaica","1147","","1323","","1479","","1922","","1952","","1986","","2008","","2080","","2123","","2182","","2353",""
"19","Japan","3345","","4757","","6728","","8611","","6219","","8358","","10364","","13413","","19737","","24040","","28691",""
"102","Jordan","1075","","1580","","2987","","4207","","3960","","4162","","3945","","3990","","3761","","3567","","3844",""
"50","Kazakhstan","..","","1683","","4365","","4097","","5685","","6163","","6841","","6333","","6430","","6509","","7701",""
"147","Kenya","918","","899","","1399","","1470","","1750","","1619","","1434","","1261","","1114","","1268","","1364",""
"132","Kiribati","4","","5","","4","","5","","5","","5","","6","","5","","4","","6","","6",""
"22","Korea (Republic of)","3753","","5322","","6023","","8798","","9795","","11140","","12176","","14202","","13232","","17242","","13336",""
"57","Kuwait","72","","78","","104","","207","","269","","300","","307","","..","","..","","..","","..",""
"122","Kyrgyzstan","36","","59","","319","","1224","","3025","","3393","","4134","","3791","","4000","","3853","","4568",""
"140","Lao People's Democratic Republic","60","","191","","672","","1670","","1894","","2291","","2700","","3164","","3543","","3315","","3257",""
"39","Latvia","539","","509","","1116","","1373","","1493","","1435","","1536","","1843","","2024","","1793","","1949",""
"93","Lebanon","450","","742","","1140","","2168","","1655","","1366","","1274","","1355","","1518","","1688","","1857",""
"164","Lesotho","209","","302","","304","","426","","398","","423","","433","","1079","","1082","","1196","","1137",""
"110","Libya","..","","..","","81","","..","","..","","..","","..","","..","","..","","..","","..",""
"18","Liechtenstein","59","","62","","50","","50","","53","","54","","52","","54","","49","","60","","69",""
"34","Lithuania","650","","1083","","2000","","1507","","1775","","1900","","2012","","2063","","2071","","2296","","2523",""
"21","Luxembourg","768","","852","","913","","805","","874","","950","","945","","1038","","1090","","1054","","1046",""
"162","Madagascar","75","","160","","277","","196","","225","","256","","196","","222","","244","","293","","255",""
"172","Malawi","192","","228","","438","","746","","767","","770","","795","","819","","805","","849","","837",""
"61","Malaysia","7469","","10222","","16431","","24577","","24714","","25033","","25715","","27437","","25721","","26757","","25948",""
"104","Maldives","315","","467","","395","","792","","931","","958","","1125","","1205","","1234","","1286","","1390",""
"184","Mali","42","","86","","143","","169","","160","","134","","142","","168","","159","","173","","193",""
"28","Malta","1116","","1216","","1171","","1339","","1415","","1443","","1582","","1690","","1783","","1966","","2274",""
"117","Marshall Islands","6","","5","","9","","5","","5","","5","","..","","5","","6","","5","","6",""
"161","Mauritania","..","","30","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"66","Mauritius","422","","656","","761","","935","","965","","965","","993","","1038","","1151","","1275","","1342",""
"76","Mexico","20241","","20641","","21915","","23290","","23403","","23403","","24151","","29346","","32093","","35079","","39291",""
"135","Micronesia (Federated States of)","..","","21","","19","","45","","35","","38","","42","","35","","31","","30","","..",""
"107","Moldova (Republic of)","..","","..","","67","","64","","75","","89","","96","","94","","94","","121","","145",""
"..","Monaco","233","","300","","286","","279","","295","","292","","328","","329","","331","","336","","355",""
"92","Mongolia","108","","154","","339","","456","","460","","476","","418","","393","","386","","404","","469",""
"52","Montenegro","..","","..","","272","","1088","","1201","","1264","","1324","","1350","","1560","","1662","","1877",""
"121","Morocco","2602","","4278","","5843","","9288","","9342","","9375","","10046","","10283","","10177","","10332","","11349",""
"180","Mozambique","..","","..","","578","","1718","","1902","","2113","","1886","","1661","","1552","","1639","","1447",""
"145","Myanmar","194","","416","","660","","792","","816","","1059","","2044","","3081","","4681","","2907","","3443",""
"130","Namibia","272","","656","","778","","984","","1027","","1079","","1176","","1320","","1388","","1469","","1499",""
"147","Nepal","363","","464","","375","","603","","736","","803","","798","","790","","539","","753","","940",""
"10","Netherlands","6574","","10003","","10012","","10883","","11300","","11680","","12783","","13925","","15007","","15828","","17924",""
